Runtime for cryst_PBE-D3paw900, 2023-03-05
 sys                 conf  method       formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
pentacene            cryst PBE-D3paw900 C44H28         P-1       2 1  2 2  2  72  102  144  662 1008   14   1  0.13  294  72 72  4 6.3.1/LinuxIFC
pentaceneN2Cl4       cryst PBE-D3paw900 C40Cl8H16N4    P21/n     4 1  2 1  2  68  126  162  814  384   14   1  0.05  230  72 72  4 6.3.1/LinuxIFC
pentaceneN4O2        cryst PBE-D3paw900 C36H16N8O4     P21/n     4 1  2 1  2  64  112  162  635  512   14   1  0.06  268  72 72  4 6.3.1/LinuxIFC
perylene             cryst PBE-D3paw900 C40H24         P21/c     4 1  2 1  2  64   92  126  593  588   14   1  0.05  245  72 72  4 6.3.1/LinuxIFC
phenazine            cryst PBE-D3paw900 C24H16N4       P21/n     4 1  2 1  2  44   66   90  433  540   14   1  0.02  272  72 72  4 6.3.1/LinuxIFC
PTCDA                cryst PBE-D3paw900 C48H16O12      P21/c     4 1  2 1  2  76  140  180  767  384   13   1  0.06  242  72 72  4 6.3.1/LinuxIFC
pyrene               cryst PBE-D3paw900 C64H40         P21/a     4 1  4 1  1 104  148  216 1002  294   14   1  0.07  217  72 72  4 6.3.1/LinuxIFC
quinacridone         cryst PBE-D3paw900 C40H24N4O4     P21/c     4 1  2 1  2  72  114  162  689  400   14   1  0.05  246  72 72  4 6.3.1/LinuxIFC
spirobidibenzosilole cryst PBE-D3paw900 C96H64Si4      P41212    8 1  4 1  2 164  232  324 1721  192   15   1  0.06   82  72 72  4 6.3.1/LinuxIFC
spirobifluorene      cryst PBE-D3paw900 C100H64        P21/c     4 1  4 1  1 164  232  324 1663  144   15   1  0.09  175  72 72  4 6.3.1/LinuxIFC
stilbene             cryst PBE-D3paw900 C56H48         P21/a     4 1  4 2  2 104  136  198  982  768   14   1  0.17  220  72 72  4 6.3.1/LinuxIFC
TCNQ                 cryst PBE-D3paw900 C48H16N16      C2/c      4 2  2 1  2  40   72  108  500 1125   14   1  0.03  189  72 72  4 6.3.1/LinuxIFC
TCNQ-F2              cryst PBE-D3paw900 C24F4H4N8      C2/m      4 2  1 1  4  20   42   54  257 2025   13   1  0.01  218  72 72  4 6.3.1/LinuxIFC
TCNQ-F4              cryst PBE-D3paw900 C48F16N16      Pbca      8 1  4 1  2  80  192  234 1106  660   15   1  0.13  163  72 72  4 6.3.1/LinuxIFC
tetracene            cryst PBE-D3paw900 C36H24         P-1       2 1  2 2  2  60   84  126  561 1536   14   1  0.14  329  72 72  4 6.3.1/LinuxIFC
thiazolothiazolePh   cryst PBE-D3paw900 C32H20N4S4     P21/c     4 1  2 1  2  60   96  144  648  432   14   1  0.04  275  72 72  4 6.3.1/LinuxIFC
TPP                  cryst PBE-D3paw900 C72H60P4       P21/c     4 1  4 1  1 136  184  270 1375  192   15   1  0.09  206  72 72  4 6.3.1/LinuxIFC
triazine             cryst PBE-D3paw900 C12H12N12      C2/c      4 2  2 1  2  18   30   54  182 1728   13   1  0.01  481  72 72  4 6.3.1/LinuxIFC
triphenylbenzene     cryst PBE-D3paw900 C96H72         Pna21     4 1  4 1  1 168  228  324 1615  192   14   1  0.11  172  72 72  4 6.3.1/LinuxIFC
triphenylene         cryst PBE-D3paw900 C72H48         P212121   4 1  4 1  1 120  168  234 1110  192   14   1  0.06  205  72 72  4 6.3.1/LinuxIFC
triphenyltriazine    cryst PBE-D3paw900 C84H60N12      P21/c     4 1  4 1  1 156  228  324 1476  192   15   1  0.12  182  72 72  4 6.3.1/LinuxIFC
triptycene           cryst PBE-D3paw900 C80H56         P212121   4 1  4 1  1 136  188  270 1341  192   15   1  0.07  169  72 72  4 6.3.1/LinuxIFC
TTAa                 cryst PBE-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  815  288   14   1  0.04  226  72 72  4 6.3.1/LinuxIFC
TTAb                 cryst PBE-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  814  432   14   1  0.06  231  72 72  4 6.3.1/LinuxIFC
TTF                  cryst PBE-D3paw900 C12H8S8        P21/c     4 1  2 1  2  28   52   72  380 1386   13   1  0.03  309  72 72  4 6.3.1/LinuxIFC
TTPa                 cryst PBE-D3paw900 C40H16N4S8     P21/n     4 1  2 1  2  68  122  162  794  288   14   1  0.04  232  72 72  4 6.3.1/LinuxIFC
TTPb                 cryst PBE-D3paw900 C80H32N8S16    P21/a     4 1  4 2  2 136  244  324 1608  192   14   1  0.10  176  72 72  4 6.3.1/LinuxIFC
TTPc                 cryst PBE-D3paw900 C40H16N4S8     P21       2 1  2 1  1  68  122  162  815  576   14   1  0.07  234  72 72  4 6.3.1/LinuxIFC
TTTT                 cryst PBE-D3paw900 C20H8S8        P21/n     4 1  2 1  2  36   68   90  459 1024   13   1  0.03  294  72 72  4 6.3.1/LinuxIFC
