Runtime for cryst_R2SCAN-D3paw900, 2023-03-05
 sys                 conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
PBBTZ                cryst R2SCAN-D3paw900 C64H36N12S8    P21/n     4 1  4 1  1 120  200  270 1257  252   14   1  0.22  458  72 72  4 6.3.1/LinuxIFC
PDI                  cryst R2SCAN-D3paw900 C48H20N4O8     P21/n     4 1  2 1  2  80  140  198  750  768   14   1  0.27  503  72 72  4 6.3.1/LinuxIFC
pentacene            cryst R2SCAN-D3paw900 C44H28         P-1       2 1  2 2  2  72  102  144  646 1008   15   1  0.31  685  72 72  4 6.3.1/LinuxIFC
pentaceneN2Cl4       cryst R2SCAN-D3paw900 C40Cl8H16N4    P21/n     4 1  2 1  2  68  126  162  795  384   14   1  0.11  540  72 72  4 6.3.1/LinuxIFC
pentaceneN4O2        cryst R2SCAN-D3paw900 C36H16N8O4     P21/n     4 1  2 1  2  64  112  162  624  512   13   1  0.11  572  72 72  4 6.3.1/LinuxIFC
perylene             cryst R2SCAN-D3paw900 C40H24         P21/c     4 1  2 1  2  64   92  126  580  588   14   1  0.09  468  72 72  4 6.3.1/LinuxIFC
phenazine            cryst R2SCAN-D3paw900 C24H16N4       P21/n     4 1  2 1  2  44   66   90  425  540   14   1  0.04  496  72 72  4 6.3.1/LinuxIFC
PTCDA                cryst R2SCAN-D3paw900 C48H16O12      P21/c     4 1  2 1  2  76  140  180  745  384   14   1  0.13  501  72 72  4 6.3.1/LinuxIFC
pyrene               cryst R2SCAN-D3paw900 C64H40         P21/a     4 1  4 1  1 104  148  216  991  294   16   1  0.15  414  72 72  4 6.3.1/LinuxIFC
quinacridone         cryst R2SCAN-D3paw900 C40H24N4O4     P21/c     4 1  2 1  2  72  114  162  669  400   14   1  0.10  511  72 72  4 6.3.1/LinuxIFC
spirobidibenzosilole cryst R2SCAN-D3paw900 C96H64Si4      P41212    8 1  4 1  2 164  232  324 1686  192   17   1  0.15  181  72 72  4 6.3.1/LinuxIFC
spirobifluorene      cryst R2SCAN-D3paw900 C100H64        P21/c     4 1  4 1  1 164  232  324 1638  144   16   1  0.23  409  72 72  4 6.3.1/LinuxIFC
stilbene             cryst R2SCAN-D3paw900 C56H48         P21/a     4 1  4 2  2 104  136  198  960  768   16   1  0.37  429  72 72  4 6.3.1/LinuxIFC
TCNQ                 cryst R2SCAN-D3paw900 C48H16N16      C2/c      4 2  2 1  2  40   72  108  490 1125   14   1  0.07  461  72 72  4 6.3.1/LinuxIFC
TCNQ-F2              cryst R2SCAN-D3paw900 C24F4H4N8      C2/m      4 2  1 1  4  20   42   54  248 2025   13   1  0.03  543  72 72  4 6.3.1/LinuxIFC
TCNQ-F4              cryst R2SCAN-D3paw900 C48F16N16      Pbca      8 1  4 1  2  80  192  234 1059  660   15   1  0.28  349  72 72  4 6.3.1/LinuxIFC
tetracene            cryst R2SCAN-D3paw900 C36H24         P-1       2 1  2 2  2  60   84  126  554 1536   14   1  0.32  785  72 72  4 6.3.1/LinuxIFC
thiazolothiazolePh   cryst R2SCAN-D3paw900 C32H20N4S4     P21/c     4 1  2 1  2  60   96  144  638  432   14   1  0.08  534  72 72  4 6.3.1/LinuxIFC
TPP                  cryst R2SCAN-D3paw900 C72H60P4       P21/c     4 1  4 1  1 136  184  270 1354  192   15   1  0.20  478  72 72  4 6.3.1/LinuxIFC
