Runtime for cryst_R2SCAN-D3paw900_sp, 2023-03-05
 sys                 conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
dibenzoindigo        cryst R2SCAN-D3paw900 C48H28N4O4     P21/n     4 1  2 1  2  84  132  180  793   30   14   1  0.01  524  72 72  4 6.3.1/LinuxIFC
DNBDT                cryst R2SCAN-D3paw900 C52H28S4       P21/n     4 1  2 1  2  84  130  180  824   54   14   1  0.02  397  72 72  4 6.3.1/LinuxIFC
DNTT                 cryst R2SCAN-D3paw900 C44H24S4       P21       2 1  2 1  1  72  112  162  743   40   14   1  0.01  527  72 72  4 6.3.1/LinuxIFC
hexacene             cryst R2SCAN-D3paw900 C52H32         P-1       2 1  2 2  2  84  120  180  750   40   14   1  0.01  540  72 72  4 6.3.1/LinuxIFC
HMTTF                cryst R2SCAN-D3paw900 C48H48S16      P21/c     4 1  4 1  1 112  168  234 1120   54   14   1  0.03  363  72 72  4 6.3.1/LinuxIFC
ICZb                 cryst R2SCAN-D3paw900 C36H24N4       P21/c     4 1  2 1  2  64   94  144  573   48   14   1  0.01  504  72 72  4 6.3.1/LinuxIFC
ICZbCl2c             cryst R2SCAN-D3paw900 C36Cl4H20N4    P21/c     4 1  2 1  2  64  106  144  648   48   14   1  0.01  539  72 72  4 6.3.1/LinuxIFC
IF12b                cryst R2SCAN-D3paw900 C40H28         P21/n     4 1  2 1  2  68   94  144  612   48   16   1  0.01  542  72 72  4 6.3.1/LinuxIFC
IF21a                cryst R2SCAN-D3paw900 C80H56         P21/c     4 1  4 1  1 136  188  270 1285   24   15   1  0.02  440  72 72  4 6.3.1/LinuxIFC
indigo               cryst R2SCAN-D3paw900 C32H20N4O4     P21/n     4 1  2 1  2  60   96  144  568   45   14   1  0.01  396  72 72  4 6.3.1/LinuxIFC
indigoCl2            cryst R2SCAN-D3paw900 C32Cl4H16N4O4  P21/c     4 1  2 1  2  60  108  144  648   63   14   1  0.01  446  72 72  4 6.3.1/LinuxIFC
naphthalene          cryst R2SCAN-D3paw900 C20H16         P21/c     4 1  2 1  2  36   48   72  329   80   14   1  0.00  438  72 72  4 6.3.1/LinuxIFC
NDFPh                cryst R2SCAN-D3paw900 C52H32O4       P21/c     4 1  2 1  2  88  132  180  856   40   14   1  0.01  416  72 72  4 6.3.1/LinuxIFC
NDI                  cryst R2SCAN-D3paw900 C28H12N4O8     P-1       2 1  2 2  2  52   96  126  506   64   14   1  0.01  625  72 72  4 6.3.1/LinuxIFC
NDT                  cryst R2SCAN-D3paw900 C56H32S8       P21/c     4 1  4 2  2  96  152  216 1039   32   15   1  0.02  605  72 72  4 6.3.1/LinuxIFC
oligothiophene4      cryst R2SCAN-D3paw900 C32H20S8       P21/a     4 1  2 1  2  60   98  144  695  120   14   1  0.02  427  72 72  4 6.3.1/LinuxIFC
oligothiophene6      cryst R2SCAN-D3paw900 C48H28S12      P21/a     4 1  2 1  2  88  146  198 1018   48   15   1  0.03  550  72 72  4 6.3.1/LinuxIFC
