Runtime for cryst_PBE-D3paw900_cg3, 2023-03-05
 sys                 conf  method       formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
pentacene            cryst PBE-D3paw900 C44H28         P-1       2 1  2 2  2  72  102  144  662   40   23   5  0.00  142  72 72  4 6.3.1/LinuxIFC
pentaceneN2Cl4       cryst PBE-D3paw900 C40Cl8H16N4    P21/n     4 1  2 1  2  68  126  162  814   32  236  59  0.05  164  72 72  4 6.3.1/LinuxIFC
pentaceneN4O2        cryst PBE-D3paw900 C36H16N8O4     P21/n     4 1  2 1  2  64  112  162  635   64  271  63  0.06  125  72 72  4 6.3.1/LinuxIFC
perylene             cryst PBE-D3paw900 C40H24         P21/c     4 1  2 1  2  64   92  126  593   45   28   7  0.00   89  72 72  4 6.3.1/LinuxIFC
phenazine            cryst PBE-D3paw900 C24H16N4       P21/n     4 1  2 1  2  44   66   90  433  105  282  69  0.02   79  72 72  4 6.3.1/LinuxIFC
PTCDA                cryst PBE-D3paw900 C48H16O12      P21/c     4 1  2 1  2  76  140  180  767   48   23   5  0.01  120  72 72  4 6.3.1/LinuxIFC
pyrene               cryst PBE-D3paw900 C64H40         P21/a     4 1  4 1  1 104  148  216 1002   27   43  15  0.01  100  72 72  4 6.3.1/LinuxIFC
quinacridone         cryst PBE-D3paw900 C40H24N4O4     P21/c     4 1  2 1  2  72  114  162  689   32   87  32  0.02  199  72 72  4 6.3.1/LinuxIFC
spirobidibenzosilole cryst PBE-D3paw900 C96H64Si4      P41212    8 1  4 1  2 164  232  324 1721   32  384 102  0.35  111  72 72  4 6.3.1/LinuxIFC
spirobifluorene      cryst PBE-D3paw900 C100H64        P21/c     4 1  4 1  1 164  232  324 1663   18  400 116  0.17   92  72 72  4 6.3.1/LinuxIFC
stilbene             cryst PBE-D3paw900 C56H48         P21/a     4 1  4 2  2 104  136  198  982   84  146  53  0.08   92  72 72  4 6.3.1/LinuxIFC
TCNQ                 cryst PBE-D3paw900 C48H16N16      C2/c      4 2  2 1  2  40   72  108  500   72   20   3  0.00  121  72 72  4 6.3.1/LinuxIFC
TCNQ-F2              cryst PBE-D3paw900 C24F4H4N8      C2/m      4 2  1 1  4  20   42   54  257  196   21   3  0.00  135  72 72  4 6.3.1/LinuxIFC
TCNQ-F4              cryst PBE-D3paw900 C48F16N16      Pbca      8 1  4 1  2  80  192  234 1106   24  144  39  0.04  130  72 72  4 6.3.1/LinuxIFC
tetracene            cryst PBE-D3paw900 C36H24         P-1       2 1  2 2  2  60   84  126  561   90   18   3  0.00  138  72 72  4 6.3.1/LinuxIFC
thiazolothiazolePh   cryst PBE-D3paw900 C32H20N4S4     P21/c     4 1  2 1  2  60   96  144  648   36   18   3  0.00  133  72 72  4 6.3.1/LinuxIFC
TPP                  cryst PBE-D3paw900 C72H60P4       P21/c     4 1  4 1  1 136  184  270 1375   24  321  74  0.15  130  72 72  4 6.3.1/LinuxIFC
triazine             cryst PBE-D3paw900 C12H12N12      C2/c      4 2  2 1  2  18   30   54  182  216   22   5  0.00  215  72 72  4 6.3.1/LinuxIFC
triphenylbenzene     cryst PBE-D3paw900 C96H72         Pna21     4 1  4 1  1 168  228  324 1615   24   40  13  0.02  104  72 72  4 6.3.1/LinuxIFC
triphenylene         cryst PBE-D3paw900 C72H48         P212121   4 1  4 1  1 120  168  234 1110   24  308  75  0.12  144  72 72  4 6.3.1/LinuxIFC
triphenyltriazine    cryst PBE-D3paw900 C84H60N12      P21/c     4 1  4 1  1 156  228  324 1476   24   74  28  0.04   94  72 72  4 6.3.1/LinuxIFC
triptycene           cryst PBE-D3paw900 C80H56         P212121   4 1  4 1  1 136  188  270 1341   32  153  54  0.09  125  72 72  4 6.3.1/LinuxIFC
TTAa                 cryst PBE-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  815   36  288  71  0.04  107  72 72  4 6.3.1/LinuxIFC
TTAb                 cryst PBE-D3paw900 C44H20S8       P21/n     4 1  2 1  2  72  122  162  814   54  274  68  0.06  101  72 72  4 6.3.1/LinuxIFC
TTF                  cryst PBE-D3paw900 C12H8S8        P21/c     4 1  2 1  2  28   52   72  380   56   17   3  0.00  167  72 72  4 6.3.1/LinuxIFC
TTPa                 cryst PBE-D3paw900 C40H16N4S8     P21/n     4 1  2 1  2  68  122  162  794   36   26   5  0.00  115  72 72  4 6.3.1/LinuxIFC
TTPb                 cryst PBE-D3paw900 C80H32N8S16    P21/a     4 1  4 2  2 136  244  324 1608   16  336  84  0.16  137  72 72  4 6.3.1/LinuxIFC
TTPc                 cryst PBE-D3paw900 C40H16N4S8     P21       2 1  2 1  1  68  122  162  815   24  357  84  0.06  189  72 72  4 6.3.1/LinuxIFC
TTTT                 cryst PBE-D3paw900 C20H8S8        P21/n     4 1  2 1  2  36   68   90  459   72   18   3  0.00  121  72 72  4 6.3.1/LinuxIFC
