Runtime for cryst_R2SCAN-D3paw900_cg3, 2023-03-05
 sys                 conf  method          formula        SG       ng m nm no ns na homo   nb   V   nkp nscf nopt  td    ct  p1 p2 nc ver/os
PBBTZ                cryst R2SCAN-D3paw900 C64H36N12S8    P21/n     4 1  4 1  1 120  200  270 1257   12  137  45  0.18  795  72 72  4 6.3.1/LinuxIFC
PDI                  cryst R2SCAN-D3paw900 C48H20N4O8     P21/n     4 1  2 1  2  80  140  198  750   36  194  57  0.24  694  72 72  4 6.3.1/LinuxIFC
pentacene            cryst R2SCAN-D3paw900 C44H28         P-1       2 1  2 2  2  72  102  144  646   40  150  50  0.12  685  72 72  4 6.3.1/LinuxIFC
pentaceneN2Cl4       cryst R2SCAN-D3paw900 C40Cl8H16N4    P21/n     4 1  2 1  2  68  126  162  795   32  149  49  0.16  859  72 72  4 6.3.1/LinuxIFC
pentaceneN4O2        cryst R2SCAN-D3paw900 C36H16N8O4     P21/n     4 1  2 1  2  64  112  162  624   64   85  20  0.09  593  72 72  4 6.3.1/LinuxIFC
perylene             cryst R2SCAN-D3paw900 C40H24         P21/c     4 1  2 1  2  64   92  126  580   45  134  47  0.06  404  72 72  4 6.3.1/LinuxIFC
phenazine            cryst R2SCAN-D3paw900 C24H16N4       P21/n     4 1  2 1  2  44   66   90  425  105  117  41  0.04  359  72 72  4 6.3.1/LinuxIFC
PTCDA                cryst R2SCAN-D3paw900 C48H16O12      P21/c     4 1  2 1  2  76  140  180  745   48  179  52  0.24  597  72 72  4 6.3.1/LinuxIFC
pyrene               cryst R2SCAN-D3paw900 C64H40         P21/a     4 1  4 1  1 104  148  216  991   27   93  31  0.09  450  72 72  4 6.3.1/LinuxIFC
quinacridone         cryst R2SCAN-D3paw900 C40H24N4O4     P21/c     4 1  2 1  2  72  114  162  669   32  208  69  0.20  886  72 72  4 6.3.1/LinuxIFC
spirobidibenzosilole cryst R2SCAN-D3paw900 C96H64Si4      P41212    8 1  4 1  2 164  232  324 1686   32  156  54  0.51  404  72 72  4 6.3.1/LinuxIFC
spirobifluorene      cryst R2SCAN-D3paw900 C100H64        P21/c     4 1  4 1  1 164  232  324 1638   18  120  43  0.25  469  72 72  4 6.3.1/LinuxIFC
stilbene             cryst R2SCAN-D3paw900 C56H48         P21/a     4 1  4 2  2 104  136  198  960   84  150  48  0.36  403  72 72  4 6.3.1/LinuxIFC
